Utility,Location,People Served
Alameda County Water District,Fremont,"Population served: 340,000"
Alco Water Service,Salinas,"Population served: 29,179"
Apple Valley Ranchos Water Company,Apple Valley,"Population served: 62,602"
"Arroyo Grande,Water Department",Arroyo Grande,"Population served: 17,064"
Arvin Community Services District,Arvin,"Population served: 19,000"
Atascadero Mutual Water Company,Atascadero,"Population served: 30,332"
Azusa Light and Water,Azusa,"Population served: 110,000"
Beaumont Cherry Valley WD,Beaumont,"Population served: 44,000"
Bella Vista Water District,Redding,"Population served: 18,426"
Bellflower - Somerset MWC,Bellflower,"Population served: 46,000"
Beverly Hills Water Department,Beverly Hills,"Population served: 44,290"
Big Bear City CSD,Big Bear City,"Population served: 12,411"
Burbank Water Department,Burbank,"Population served: 105,543"
Cal American Water Company,Newbury Park,"Population served: 61,206"
Cal-am Water Company - Duarte,Rosemead,"Population served: 21,589"
Cal-water Service Company - Chico,Chico,"Population served: 100,435"
Cal-water Service Company - Marysville,Chico,"Population served: 12,017"
Cal/am Water Company - Baldwin Hills,Rosemead,"Population served: 18,397"
Cal/Am Water Company - San Marino,Rosemead,"Population served: 40,804"
Calif State Polytechnical Univ - Pomona,Pomona,"Population served: 24,880"
California American Water Company - Antelope,Sacramento,"Population served: 34,168"
California American Water Company - Coronado,Imperial Beach,"Population served: 96,000"
California American Water Company - Lincoln Oaks,Sacramento,"Population served: 46,606"
California American Water Company - Monterey,Monterey,"Population served: 96,754"
California American Water Company - Parkway,Sacramento,"Population served: 44,949"
California American Water Company - Suburban,Sacramento,"Population served: 111,768"
California State Fair,Sacramento,"Population served: 90,000"
California State University Fresno,Fresno,"Population served: 23,000"
California Water Service (CWS) - Bakersfield,San Jose,"Population served: 246,371"
California Water Service (CWS) - King City,San Jose,"Population served: 14,441"
California Water Service (CWS) - Los Altos Suburban,San Jose,"Population served: 68,404"
California Water Service (CWS) - North Garden,San Jose,"Population served: 24,167"
California Water Service (CWS) - Salinas,San Jose,"Population served: 106,858"
California Water Service (CWS) - Selma,San Jose,"Population served: 24,587"
California Water Service (CWS) - Visalia,San Jose,"Population served: 135,923"
California Water Service - Bear Gulch,San Jose,"Population served: 58,432"
California Water Service - Livermore,Livermore,"Population served: 56,700"
California Water Service - San Carlos,San Jose,"Population served: 29,554"
California Water Service - San Mateo,San Jose,"Population served: 101,004"
California Water Service - South San Francisco,San Jose,"Population served: 56,110"
California Water Service - Stockton,San Jose,"Population served: 185,346"
California Water Service Company - Dominguez,San Jose,"Population served: 142,111"
California Water Service Company - East Los Angeles,San Jose,"Population served: 150,446"
California Water Service Company - Hermosa / Redondo Beach,San Jose,"Population served: 95,605"
California Water Service Company - Palos Verde,San Jose,"Population served: 69,883"
California Water Service Company - Westlake,San Jose,"Population served: 19,451"
Camarillo Water Department,Camarillo,"Population served: 45,500"
Camp Pendleton (North),Camp Pendleton,"Population served: 15,600"
Camp Pendleton (South),Camp Pendleton,"Population served: 39,400"
Camrosa Water District,Camarillo,"Population served: 30,000"
Carmichael Water District,Carmichael,"Population served: 40,000"
Carpinteria Valley Water District,Carpinteria,"Population served: 16,050"
CCWD Ebbetts Pass Improvement District,San Andreas,"Population served: 14,340"
"CCWD, Jenny Lind",San Andreas,"Population served: 10,170"
"Cerritos - City, Water Department",Cerritos,"Population served: 49,041"
Chowchilla City Water Department,Chowchilla,"Population served: 11,759"
Citrus Heights Water District,Citrus Heights,"Population served: 66,500"
City of Adelanto,Adelanto,"Population served: 31,765"
City of Alhambra,Alhambra,"Population served: 84,679"
City of American Canyon,American Canyon,"Population served: 20,082"
City of Anaheim,Anaheim,"Population served: 450,000"
City of Anderson,Anderson,"Population served: 11,127"
City of Antioch,Antioch,"Population served: 103,833"
City of Arcadia,Arcadia,"Population served: 57,639"
City of Arcata,Arcata,"Population served: 16,651"
City of Atwater,Atwater,"Population served: 29,050"
City of Avenal,Avenal,"Population served: 16,236"
City of Bakersfield,Bakersfield,"Population served: 138,309"
City of Banning,Banning,"Population served: 29,965"
City of Benicia,Benicia,"Population served: 28,000"
